eventcode,time,year,mag,location,HaggLQ,ExpPopLQ,Dam_Code,Kate added recently?,PH_LQ,QH_LQ,PE_LQ,QE_LQ,Buildings,Transportation,Utilities,Buildings_Cost,Transportation_Cost,Utilities_Cost,Total_Cost,American?
usp0009d4z,8/17/99,1999,7.6,western Turkey (Kocaeli),190,160000,5,,724.52,3207.1008,236.7278,1338.9056,2,1,2,0,0,0,0,0
usp0009eq0,9/20/99,1999,7.7,Taiwan,630,1100000,5,,1250.2533,2391.3068,718.3682,1409.2527,2,1,2,0,0,0,0,0
usp000a7m5,1/13/01,2001,7.7,offshore El Salvador (San Miguel),880,120000,5,,265.0218,855.2343,111.016,749.7251,1,2,0,0,0,0,0,0
usp000a8ds,1/26/01,2001,7.7,"Gujarat, India (Bhuj)",5100,590000,5,,4709.1159,29032.7903,507.854,4600.6736,0,2,0,0,0,0,0,0
usp000bnyr,1/22/03,2003,7.6,"offshore Colima, Mexico",100,13000,5,,478.5303,3520.6229,62.0407,936.3833,1,1,1,0,0,0,0,0
usp000bxpg,5/21/03,2003,6.8,northern Algeria (Boumerdes),30,52000,5,,118.04,1251.1639,196.3864,2356.3173,0,1,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,x`,,,,,,
